epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3253,1.44675,3.71264,0.00787,0.90638,0.26238,0.66454,0.37469,1.20885,3.53201,0.00764,0.000470226,0.000470226,0.000470226
2,65.6545,1.48146,2.24223,0.00844,0.70191,0.79043,0.79794,0.47066,1.28909,2.1594,0.0083,0.000937189,0.000937189,0.000937189
3,96.1723,1.49967,1.96695,0.00843,0.731,0.80384,0.82483,0.48055,1.30734,1.79248,0.00848,0.00139472,0.00139472,0.00139472
4,127.887,1.50825,1.7938,0.00847,0.75102,0.80832,0.83947,0.49781,1.31221,1.65069,0.00866,0.00138656,0.00138656,0.00138656
5,157.18,1.4807,1.60285,0.00839,0.8168,0.81118,0.88184,0.53591,1.28188,1.3668,0.00813,0.00137241,0.00137241,0.00137241
6,185.484,1.44264,1.51045,0.00805,0.83166,0.8085,0.89579,0.55405,1.2571,1.23376,0.00802,0.00135826,0.00135826,0.00135826
7,212.548,1.47014,1.45843,0.00812,0.84057,0.82571,0.88767,0.5486,1.28323,1.17677,0.0079,0.00134412,0.00134412,0.00134412
8,243.804,1.44667,1.39109,0.00798,0.79358,0.78117,0.85179,0.51214,1.31192,1.20526,0.00852,0.00132997,0.00132997,0.00132997
9,273.626,1.42182,1.28703,0.0079,0.82451,0.83897,0.89796,0.54808,1.26113,1.08296,0.00789,0.00131582,0.00131582,0.00131582
10,303.794,1.4291,1.26277,0.00802,0.77665,0.85594,0.88807,0.55816,1.25554,1.07858,0.00798,0.00130168,0.00130168,0.00130168
11,334.132,1.42828,1.27227,0.00786,0.80156,0.85316,0.87403,0.5458,1.26079,1.01524,0.00793,0.00128753,0.00128753,0.00128753
12,363.421,1.44314,1.21967,0.00791,0.7974,0.84706,0.88537,0.49754,1.34164,1.04244,0.00847,0.00127338,0.00127338,0.00127338
13,393.919,1.41606,1.16289,0.00775,0.81686,0.84483,0.89766,0.5504,1.27911,0.94714,0.00837,0.00125923,0.00125923,0.00125923
14,425.365,1.40501,1.12202,0.00748,0.81557,0.8748,0.90089,0.57984,1.24816,0.85413,0.00798,0.00124509,0.00124509,0.00124509
15,456.381,1.40864,1.13308,0.00768,0.81169,0.87659,0.91083,0.5647,1.26494,0.88957,0.00809,0.00123094,0.00123094,0.00123094
16,484.853,1.38939,1.11583,0.0078,0.84356,0.83157,0.90548,0.5735,1.24923,0.89147,0.00812,0.00121679,0.00121679,0.00121679
17,513.912,1.4076,1.10759,0.00755,0.80805,0.87298,0.90026,0.58038,1.22191,0.80367,0.00779,0.00120265,0.00120265,0.00120265
18,546.51,1.36771,1.07443,0.00754,0.81745,0.88223,0.91768,0.58424,1.27645,0.80293,0.00787,0.0011885,0.0011885,0.0011885
19,577.466,1.40147,1.0496,0.00756,0.82764,0.89088,0.91941,0.57964,1.23256,0.8206,0.00757,0.00117435,0.00117435,0.00117435
20,607.74,1.36072,1.00586,0.00742,0.81377,0.85248,0.90195,0.58216,1.22485,0.83962,0.00787,0.00116021,0.00116021,0.00116021
21,638.887,1.37493,1.04084,0.0072,0.84946,0.83583,0.91476,0.59154,1.21058,0.79464,0.00758,0.00114606,0.00114606,0.00114606
22,669.552,1.35555,0.9919,0.00736,0.85287,0.83746,0.91069,0.5835,1.24896,0.79405,0.00799,0.00113191,0.00113191,0.00113191
23,701.085,1.3637,1.03768,0.00753,0.83533,0.88797,0.92729,0.59639,1.22512,0.71578,0.00747,0.00111776,0.00111776,0.00111776
24,732.246,1.34485,1.02959,0.00742,0.85247,0.85782,0.91861,0.57708,1.2289,0.76303,0.00781,0.00110362,0.00110362,0.00110362
25,763.668,1.35532,0.97978,0.00736,0.82006,0.8957,0.92489,0.60025,1.19217,0.7376,0.00746,0.00108947,0.00108947,0.00108947
26,795.028,1.34814,0.96188,0.00706,0.84657,0.8578,0.91475,0.59204,1.20849,0.72366,0.00768,0.00107532,0.00107532,0.00107532
27,826.498,1.32456,0.92743,0.00708,0.81867,0.88238,0.92542,0.59846,1.18508,0.75182,0.0074,0.00106118,0.00106118,0.00106118
28,857.03,1.32256,0.9236,0.00688,0.84475,0.88772,0.92306,0.60054,1.18709,0.72317,0.00752,0.00104703,0.00104703,0.00104703
29,885.982,1.34806,0.93129,0.00713,0.81778,0.87331,0.91111,0.5875,1.16627,0.77344,0.00713,0.00103288,0.00103288,0.00103288
30,913.236,1.33306,0.90384,0.00692,0.83059,0.87705,0.91611,0.5963,1.18019,0.73878,0.00716,0.00101873,0.00101873,0.00101873
31,941.06,1.31316,0.88412,0.00708,0.81573,0.8801,0.91587,0.59794,1.2105,0.74303,0.0074,0.00100459,0.00100459,0.00100459
32,969.948,1.33458,0.89151,0.00707,0.85762,0.85696,0.92152,0.6025,1.18,0.70443,0.00717,0.00099044,0.00099044,0.00099044
33,998.313,1.32905,0.89482,0.00705,0.85388,0.87764,0.92566,0.59907,1.18167,0.69345,0.00713,0.000976293,0.000976293,0.000976293
34,1026.69,1.31063,0.86297,0.007,0.84099,0.88029,0.91986,0.59641,1.19277,0.69287,0.00757,0.000962146,0.000962146,0.000962146
35,1059.22,1.30372,0.85276,0.00687,0.8676,0.87397,0.92764,0.60366,1.16652,0.68237,0.00725,0.000947999,0.000947999,0.000947999
36,1088.32,1.3074,0.85745,0.00682,0.88452,0.85981,0.93177,0.6077,1.17683,0.65721,0.00707,0.000933851,0.000933851,0.000933851
37,1116.43,1.31551,0.87331,0.007,0.85755,0.87244,0.92953,0.60878,1.14848,0.66266,0.00698,0.000919704,0.000919704,0.000919704
38,1149.68,1.29183,0.83834,0.00668,0.84553,0.89386,0.92622,0.6114,1.18225,0.69032,0.00718,0.000905557,0.000905557,0.000905557
39,1180.63,1.31562,0.84679,0.00676,0.87312,0.8862,0.93712,0.61153,1.16709,0.67144,0.00702,0.00089141,0.00089141,0.00089141
40,1211.51,1.294,0.82268,0.0067,0.85466,0.8607,0.92747,0.60568,1.16935,0.68948,0.00733,0.000877263,0.000877263,0.000877263
41,1241.1,1.28472,0.81932,0.00682,0.85058,0.88837,0.93541,0.61533,1.17983,0.62269,0.00728,0.000863116,0.000863116,0.000863116
42,1269.74,1.28426,0.81816,0.00677,0.85219,0.87621,0.92987,0.61193,1.16607,0.63272,0.00726,0.000848969,0.000848969,0.000848969
43,1298.69,1.28393,0.83131,0.0068,0.84284,0.87038,0.92601,0.60629,1.15996,0.65536,0.00694,0.000834822,0.000834822,0.000834822
44,1329.97,1.26851,0.79746,0.00682,0.85503,0.84204,0.92128,0.60739,1.14974,0.69041,0.00718,0.000820675,0.000820675,0.000820675
45,1360.49,1.28749,0.79866,0.00672,0.85112,0.88366,0.93034,0.61537,1.17503,0.64399,0.00702,0.000806528,0.000806528,0.000806528
46,1390.72,1.26742,0.78956,0.00654,0.84591,0.89267,0.92632,0.60314,1.16557,0.66568,0.00704,0.00079238,0.00079238,0.00079238
47,1423.44,1.28426,0.79054,0.00649,0.81975,0.89874,0.92022,0.61108,1.17085,0.6376,0.00711,0.000778233,0.000778233,0.000778233
48,1453.13,1.24924,0.75257,0.00658,0.8753,0.84859,0.92851,0.61181,1.14838,0.63296,0.00669,0.000764086,0.000764086,0.000764086
49,1484.23,1.24151,0.73733,0.00656,0.85759,0.885,0.93482,0.62195,1.14724,0.61163,0.00689,0.000749939,0.000749939,0.000749939
50,1515.15,1.25706,0.75972,0.0064,0.86124,0.89964,0.93285,0.6158,1.16574,0.61152,0.00716,0.000735792,0.000735792,0.000735792
51,1545.25,1.26718,0.76635,0.00645,0.85682,0.89817,0.92616,0.6143,1.17423,0.63518,0.00708,0.000721645,0.000721645,0.000721645
52,1575.41,1.24084,0.75896,0.00653,0.8754,0.87107,0.93381,0.62307,1.15578,0.61195,0.00693,0.000707498,0.000707498,0.000707498
